Position;Mean_Q1;Mean_Q2;Mean_Q3;Mean_Q4;Mean_MT1;Mean_MT2;Mean_Game;CV_Q1;CV_Q2;CV_Q3;CV_Q4;CV_MT1;CV_MT2;CV_Game;Max_Q1;Max_Q2;Max_Q3;Max_Q4;Max_MT1;Max_MT2;Max_Game;ApEn_Q1;ApEn_Q2;ApEn_Q3;ApEn_Q4;ApEn_MT1;ApEn_MT2;ApEn_Game;SampEn_Q1;SampEn_Q2;SampEn_Q3;SampEn_Q4;SampEn_MT1;SampEn_MT2;SampEn_Game;H2_Q1;H2_Q2;H2_Q3;H2_Q4;H2_MT1;H2_MT2;H2_Game;Frac_Max_Q1;Frac_Max_Q2;Frac_Max_Q3;Frac_Max_Q4;Frac_Max_MT1;Frac_Max_MT2;Frac_Max_Game;Frac_Peak_Q1;Frac_Peak_Q2;Frac_Peak_Q3;Frac_Peak_Q4;Frac_Peak_MT1;Frac_Peak_MT2;Frac_Peak_Game
MO;7.530202959;6.793616831;6.620796614;5.72579428;7.161909895;6.173295447;6.640673942;60.4501387;67.2623635;68.1806754;76.060167;63.8873328;72.2099702;68.3768582;25.58;25.29;27.18;25.21;25.58;27.18;27.18;0.251206448;0.224830859;0.22939318;0.198880744;0.23936905;0.215146921;0.22767314;0.118934072;0.091064388;0.100559624;0.081388016;0.103725681;0.090502466;0.095948966;0.999;1.1018;0.9803;1.0596;0.9864;0.9432;0.929;2.0235;2.2116;1.593;6.2964;2.2128;5.4701;5.3293;1.18;1.26;1.13;1.64;1.19;4.8;1.46
MO;7.722114334;6.771103703;6.028551639;6.534727497;7.246625882;6.281639568;6.743220241;58.8954291;65.0646559;73.6818148;65.9455143;62.131721;69.7810918;66.2412297;26.99;28.98;25.37;27.88;28.98;27.88;28.98;0.257351537;0.23269587;0.229865951;0.226976032;0.245136803;0.230658675;0.237509672;0.125413943;0.093309004;0.099109126;0.093743187;0.108069886;0.096559752;0.101344256;0.9346;0.9646;1.0109;1.0002;0.8896;0.9359;0.8779;1.777;2.602;2.6692;2.087;2.3366;2.681;2.9262;1.08;1.29;1.35;1.14;1.17;1.27;1.26
MO;7.82143429;7.285380624;6.788394556;6.441709603;7.553407457;6.61505208;7.068922451;59.0404959;57.5974914;67.1329704;71.5130883;58.5179145;69.3149965;64.0890223;28.31;24.78;25.98;27.2;28.31;27.2;28.31;0.252930707;0.251109426;0.226170543;0.21356371;0.253143321;0.222347098;0.237113677;0.114331173;0.113035034;0.095889661;0.094629954;0.112851588;0.095637729;0.103866964;1.0081;1.0344;1.0418;0.9728;0.955;0.9326;0.8927;1.8852;1.9307;4.6795;3.2779;1.858;4.6776;4.9391;1.14;1.15;1.75;1.39;1.08;1.68;1.67
MO;7.433290479;6.644185415;6.796623898;6.559288172;7.038737947;6.677960288;6.858675026;58.8921476;66.1421397;64.8692515;73.7163917;62.5645741;69.3091743;65.9143624;24.71;25.13;27.88;29.07;25.13;29.07;29.07;0.258542847;0.230316558;0.217600254;0.199424713;0.243676743;0.209738506;0.227794793;0.11988264;0.098238886;0.096170451;0.080350778;0.108103238;0.088360591;0.098438841;0.9443;1.0099;1.065;1.1073;0.9079;0.9938;0.9105;1.7951;2.4925;2.2053;2.891;2.2252;2.7998;2.6996;1.07;1.26;1.23;1.48;1.1;1.35;1.23
MD;7.357437227;6.728022369;6.444310345;6.08698676;7.042729798;6.265648552;6.650695489;61.9108584;62.4755455;66.5394756;70.2825962;62.3897774;68.4159214;65.5192736;25.97;23.05;22.61;23.11;25.97;23.11;25.97;0.240888084;0.231623882;0.2261335;0.234297295;0.239091874;0.231071777;0.234160441;0.125092236;0.103266121;0.102477235;0.104511731;0.11389839;0.103482426;0.108391142;0.9527;1.0228;1.0201;0.9969;0.9211;0.9465;0.8837;2.3684;4.7424;3.5961;3.6396;4.7449;3.9937;5.5707;1.19;1.8;1.55;1.49;1.7;1.58;1.84
DC;6.169534816;6.962688936;6.374874512;5.395460927;6.566111876;5.885183934;6.210339602;71.4545903;62.0008578;63.936669;76.4323769;66.7186306;70.1596758;68.6704918;24.74;24.41;22.97;23.7;24.74;23.7;24.74;0.242535979;0.251001466;0.271310397;0.243651194;0.248316127;0.25812848;0.253003874;0.117323449;0.125966009;0.144140993;0.117101717;0.121807548;0.129721753;0.12575764;1.0587;0.9749;0.9798;1.031;0.9486;0.9358;0.9043;1.9413;2.2395;2.4125;2.3981;2.1177;2.7184;2.6708;1.18;1.12;1.18;1.25;1.09;1.19;1.12
DC;6.544540176;5.968411583;5.626341577;4.311012599;6.25647588;4.968677088;5.589224233;68.4943395;74.1947652;74.8054653;91.2937481;71.3620644;83.0645023;77.668943;25.49;24.67;23.36;23.77;25.49;23.77;25.49;0.23570049;0.233759723;0.242378915;0.222249191;0.236005021;0.23177589;0.233876584;0.117088527;0.114167088;0.125674679;0.099053025;0.117139916;0.111018214;0.113211238;1.0307;0.9465;0.986;0.9139;0.9283;0.8896;0.875;1.8031;3.6894;5.9409;;3.926;9.3039;9.0881;1.12;1.41;1.94;;1.49;1.48;1.54
DC;5.871213243;5.423551589;5.526754692;4.698859305;5.647382416;5.112806998;5.377691305;61.5691998;64.6532858;72.3934841;65.3114787;63.1806993;70.2046489;66.7347338;24.45;19.65;24.56;19.52;24.45;24.56;24.56;0.275679347;0.264550269;0.239955709;0.284574355;0.271857882;0.262017508;0.268362711;0.16165249;0.139295891;0.11711837;0.165081956;0.149801812;0.137766316;0.143560087;0.8403;0.9853;1.0271;0.8479;0.8508;0.9168;0.8315;2.1087;2.0898;1.8863;2.8365;2.1611;2.577;2.691;1.06;1.18;1.16;1.24;1.05;1.21;1.16
DC;6.316884247;5.533820534;5.732975802;5.17964669;5.92535239;5.456311246;5.678055673;69.0374955;76.7831087;71.701158;85.6770327;72.9590424;78.5546326;75.9061909;27.45;25.01;24.51;24.91;27.45;24.91;27.45;0.237841035;0.230098022;0.236190385;0.211652044;0.2360865;0.226197327;0.2311193;0.120827331;0.114983662;0.121087668;0.098094479;0.119439748;0.110545389;0.114784137;0.9397;1.0433;0.9648;1.0334;0.9328;0.9325;0.8944;2.184;4.363;;6.1319;4.0391;11.6324;11.2136;1.14;1.67;1.63;1.89;1.54;10.42;1.76
DC;6.890527697;6.121332813;5.522719823;5.473798777;6.505943895;5.4982593;5.980263787;59.4764104;66.6011353;72.3079839;71.5121001;63.1046644;71.915602;67.8659276;25.72;24.54;24.73;21.45;25.72;24.73;25.72;0.273132305;0.243361211;0.248823317;0.240612784;0.258612115;0.245992655;0.251759685;0.144359417;0.120775603;0.122222162;0.118809961;0.131762448;0.120686904;0.125632635;0.9049;1.0075;0.9746;0.9727;0.8951;0.9119;0.8681;1.4451;3.7142;1.8734;5.8403;3.4806;5.14;5.4276;1;1.45;1.1;1.78;1.36;1.66;1.7
